"","baseMean","log2FoldChange","lfcSE","padj","Phylum","Class","Order","Family","Genus","Species","Bd_inhibition","change"
"9454cca99d0f11e31d41c2c54243fbc9",62.9909950869067,25.152775764774,2.11689804383619,1.79360643177627e-30,"Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","uncultured","Solimonas_sp.",NA,"Increase"
"df71de0e92459aa808364311135bb8fc",232.78425570235,25.6588600567439,2.15974546091894,1.79360643177627e-30,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","",NA,"Increase"
"361f5a0499d7c46e4a69b3e10b48bb7f",42.352308033828,24.4555018759694,2.16942292843515,1.07257797958661e-27,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","",NA,"Increase"
"f607eb4b05c3ff6ff32688f86c678447",29.870973786298,24.1776257982485,2.45787332398865,3.12606973879011e-21,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","uncultured_bacterium",NA,"Increase"
"79de530013dc894edc4ffef91d2a3585",30.4056686383724,8.38440836896993,1.37150124838357,8.36462510859091e-09,"Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides_sp.",NA,"Increase"
"1e104b993416995498346089f57fd3bf",8232.04807085177,5.87293118011836,1.0179820936838,6.16675295517583e-08,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylophilus","uncultured_bacterium",NA,"Increase"
"52d9fb3d0606507ffdb851bed161155c",26.1001831248291,8.16431068829504,1.58254718293718,1.70272729193364e-06,"Planctomycetota","OM190","OM190","OM190","OM190","uncultured_bacterium",NA,"Increase"
"750ebf92bda417308378ee3d7d686baa",1250.62457623883,6.69678079780691,1.30535536289226,1.92919647956275e-06,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","","","inhibitory","Increase"
"7ada9e0268a1f22ffd4b514989a91672",2893.24843966886,5.64859945467152,1.11462359265121,2.51997458528094e-06,"Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Hydrocarboniphaga","uncultured_bacterium",NA,"Increase"
"38e6590dd91eb0b5561b608de27426eb",5176.90842184187,5.86583689018247,1.15822862485281,2.51997458528094e-06,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","","",NA,"Increase"
"650d67f7c678bf6b71598b2c514f0315",52.431527261083,9.17056249533151,1.82370257658045,2.96536087645207e-06,"Actinobacteriota","Actinobacteria","Frankiales","uncultured","uncultured","Actinomycetales_bacterium",NA,"Increase"
"5aa44ccd479f0310c977c1a673c4ad0a",26.78926143789,6.79652656639376,1.36845860521563,3.98940351986635e-06,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","","",NA,"Increase"
"ef842304c4abd41a0d12022583c3e8be",84.7881673053837,7.84509170416799,1.63961728787871,9.3401006900037e-06,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","uncultured_bacterium",NA,"Increase"
"7ebbb1e6f79a2910951c191a4bf1df66",1571.88914104963,4.96639933540736,1.08102354625918,2.16028184706435e-05,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Methyloversatilis","uncultured_bacterium",NA,"Increase"
