"","baseMean","log2FoldChange","lfcSE","padj","Phylum","Class","Order","Family","Genus","Species","Bd_inhibition","change"
"6101ee30f0c626da6e9265ba1a96a4e3",780.7558165662,28.8692169752021,1.95273601536103,5.66817768942139e-47,"Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Nevskia","",NA,"Increase"
"c58e5bf355be030d93e26cfa7e766dab",21.0157782255561,23.8384091480229,2.41393978247923,1.80515239261278e-21,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","","","inhibitory","Increase"
"650d67f7c678bf6b71598b2c514f0315",34.656542298933,8.60942295943659,1.09899427989546,6.01008902203417e-14,"Actinobacteriota","Actinobacteria","Frankiales","uncultured","uncultured","Actinomycetales_bacterium",NA,"Increase"
"252c7d16d57544debc4c97747a7cb8f8",3404.94015563471,8.02639658924891,1.27203724036527,2.24142946502546e-09,"Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Nevskia","",NA,"Increase"
"5cc00506fd5ccfcd210df7a0d828275b",31.5407026373975,8.47377475690975,1.44746962720293,3.13478930112746e-08,"Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","HdN1","gamma_proteobacterium",NA,"Increase"
"c4c8fca0e69e298376d4dd487d43733e",70.0789253584672,9.62547995564685,1.68912995245907,7.08993013363854e-08,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","",NA,"Increase"
"f86222ce0aa7c48d5994451baf572b60",4023.53127372772,5.7844640047968,1.14432670872144,1.98990634699459e-06,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","","",NA,"Increase"
"ecda85951e305e3113553cdfa931f87b",43.9416813641357,8.95208772636056,1.77254217575573,2.00677638341928e-06,"Proteobacteria","Gammaproteobacteria","","","","",NA,"Increase"
"bfd7478a85859f34a96ec390c233613b",70.5821695574678,9.57398706738931,1.90035723034069,2.11005194953278e-06,"Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","",NA,"Increase"
"2c87d01f359e7d77cbdf931e0868986a",39.0893445588705,8.78281801815706,1.77227850340318,3.01170502401306e-06,"Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","",NA,"Increase"
"750ebf92bda417308378ee3d7d686baa",711.554012929982,6.20302801250213,1.29509127401695,6.29114336015347e-06,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","","","inhibitory","Increase"
"1e104b993416995498346089f57fd3bf",5487.58541690203,6.26892128122104,1.37732053634819,1.86702712389704e-05,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylophilus","uncultured_bacterium",NA,"Increase"
"02a021a4a33ccd51f4b020422088397b",1567.93468706564,5.90153996222936,1.31099825097162,2.31168987373849e-05,"Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Antarctic_bacterium","ns","Increase"
"7ebbb1e6f79a2910951c191a4bf1df66",1634.43185278456,5.34401552848702,1.199277276989,2.79833653283551e-05,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Methyloversatilis","uncultured_bacterium",NA,"Increase"
"38e6590dd91eb0b5561b608de27426eb",596.038143303261,4.82743720338339,1.10844858911886,3.93800141174372e-05,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","","",NA,"Increase"
"c0c6dea060404ea17972053bc9e98ae7",129.190820198339,7.89136304384308,1.81762832136842,4.14880130917017e-05,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Limnobacter","",NA,"Increase"
"97f83e381bd05e6b0dc0eae8402bf1b4",134.093044119878,6.78024574421392,1.63339836263036,8.93454776026432e-05,"Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","Candidatus_Fluviicola",NA,"Increase"
"b0c70e81b72525380ff33c83bc6db6bb",28.8641632122256,8.34554534481249,2.0176318312254,9.44267747026214e-05,"Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","uncultured","uncultured_gamma",NA,"Increase"
"f607eb4b05c3ff6ff32688f86c678447",23.9649132666969,7.78527985143957,1.90169148882237,0.000111543283023157,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","uncultured_bacterium",NA,"Increase"
"5aa44ccd479f0310c977c1a673c4ad0a",14.6617675087781,7.36825405989319,1.8075354584175,0.000118087857456961,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","","",NA,"Increase"
"b185474a58ab7f644252271d266a730d",14.3768441510344,7.33912096120357,1.81018576942289,0.000125686439990516,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Edaphobaculum","",NA,"Increase"
"1c43f6d4f97c41637227e2c74955d77b",26.6102896030476,8.22854573758046,2.10012792825454,0.000207780902541487,"Proteobacteria","Alphaproteobacteria","Micavibrionales","uncultured","uncultured","uncultured_gamma",NA,"Increase"
"fbfb69032bce060bcbccdcbc0b5a7b2e",1207.00024590927,3.79467888067517,0.973934155495584,0.000224045538923,"Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Nevskia","uncultured_bacterium",NA,"Increase"
"69e60a7780ed19b0d4dfcaf34837aa88",15.8265306376924,6.37616603622043,1.7004009667617,0.000380121559520191,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus","",NA,"Increase"
"ad72127c01dac114c005c83404612b5d",63.7536758794042,4.2771893055022,1.14870199736401,0.000419069170141932,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","","ns","Increase"
"a179bd01b8d8448a8cfa67d44d8ec55a",11.2863114553603,6.99191063162907,1.91099898024063,0.000527072566255982,"Proteobacteria","Alphaproteobacteria","Caedibacterales","Caedibacteraceae","Caedibacter","uncultured_[Caedibacter]",NA,"Increase"
"e990c276fbc1c79a05390fbf6840daf2",16.4628093131254,7.53595820153599,2.06174086521159,0.000529707547405818,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Aquabacterium","",NA,"Increase"
"9bfbb8de4d1737de1b3edc0abd185cfe",16.0253711932647,6.77377932517583,1.9071424471855,0.00077282674808341,"Planctomycetota","OM190","OM190","OM190","OM190","uncultured_bacterium",NA,"Increase"
